Id,Symbol,Name,Slug,Rank
1,BTC,Bitcoin,bitcoin,1
1027,ETH,Ethereum,ethereum,2
52,XRP,XRP,xrp,3
825,USDT,Tether USDt,tether,4
1839,BNB,BNB,bnb,5
5426,SOL,Solana,solana,6
3408,USDC,USDC,usd-coin,7
74,DOGE,Dogecoin,dogecoin,8
1958,TRX,TRON,tron,9
2010,ADA,Cardano,cardano,10
32196,HYPE,Hyperliquid,hyperliquid,11
1975,LINK,Chainlink,chainlink,12
29470,USDe,Ethena USDe,ethena-usde,13
20947,SUI,Sui,sui,14
5805,AVAX,Avalanche,avalanche,15
512,XLM,Stellar,stellar,16
1831,BCH,Bitcoin Cash,bitcoin-cash,17
4642,HBAR,Hedera,hedera,18
2,LTC,Litecoin,litecoin,19
3957,LEO,UNUS SED LEO,unus-sed-leo,20
5994,SHIB,Shiba Inu,shiba-inu,21
3635,CRO,Cronos,cronos,22
11419,TON,Toncoin,toncoin,23
6636,DOT,Polkadot,polkadot-new,24
27075,MNT,Mantle,mantle,25
328,XMR,Monero,monero,26
4943,DAI,Dai,multi-collateral-dai,27
7083,UNI,Uniswap,uniswap,28
33251,WLFI,World Liberty Financial,world-liberty-financial-wlfi,29
3897,OKB,OKB,okb,30
7278,AAVE,Aave,aave,31
24478,PEPE,Pepe,pepe,32
30171,ENA,Ethena,ethena,33
11092,BGB,Bitget Token,bitget-token-new,34
21794,APT,Aptos,aptos,35
6535,NEAR,NEAR Protocol,near-protocol,36
36341,ASTER,Aster,aster,37
22974,TAO,Bittensor,bittensor,38
35626,IP,Story,story-protocol,39
1321,ETC,Ethereum Classic,ethereum-classic,40
21159,ONDO,Ondo,ondo-finance,41
13502,WLD,Worldcoin,worldcoin-org,42
36148,USD1,World Liberty Financial USD,usd1,43
27772,PYUSD,PayPal USD,paypal-usd,44
1437,ZEC,Zcash,zcash,45
28321,POL,Polygon (prev. MATIC),polygon-ecosystem-token,46
8916,ICP,Internet Computer,internet-computer,47
11841,ARB,Arbitrum,arbitrum,48
36507,PUMP,Pump.fun,pump-fun,49
35491,M,MemeCore,memecore,50
35697,PI,Pi,pi,51
2087,KCS,KuCoin Token,kucoin-token,52
20396,KAS,Kaspa,kaspa,53
3077,VET,VeChain,vechain,54
3794,ATOM,Cosmos,cosmos,55
4030,ALGO,Algorand,algorand,56
34466,PENGU,Pudgy Penguins,pudgy-penguins,57
7950,FLR,Flare,flare,58
5690,RENDER,Render,render,59
23149,SEI,Sei,sei,60
38515,2Z,DoubleZero,doublezero,61
23095,BONK,Bonk,bonk1,62
2280,FIL,Filecoin,filecoin,63
33038,SKY,Sky,sky,64
35336,TRUMP,OFFICIAL TRUMP,official-trump,65
36645,XPL,Plasma,plasma-xpl,66
10603,IMX,Immutable,immutable-x,67
29210,JUP,Jupiter,jupiter-ag,68
4269,GT,GateToken,gatetoken,69
3773,FET,Artificial Superintelligence Alliance,artificial-superintelligence-alliance,70
2634,XDC,XDC Network,xdc-network,71
28081,SPX,SPX6900,spx6900,72
11840,OP,Optimism,optimism-ethereum,73
7226,INJ,Injective,injective,74
3155,QNT,Quant,quant,75
7186,CAKE,PancakeSwap,pancakeswap,76
22861,TIA,Celestia,celestia,77
4705,PAXG,PAX Gold,pax-gold,78
36410,MYX,MYX Finance,myx-finance,79
6538,CRV,Curve DAO Token,curve-dao-token,80
4847,STX,Stacks,stacks,81
26081,FDUSD,First Digital USD,first-digital-usd,82
8000,LDO,Lido DAO,lido-dao,83
29270,AERO,Aerodrome Finance,aerodrome-finance,84
7326,DEXE,DeXe,dexe,85
10804,FLOKI,FLOKI,floki-inu,86
29814,ETHFI,ether.fi,ether-fi-ethfi,87
5176,XAUt,Tether Gold,tether-gold,88
32880,KAIA,Kaia,kaia,89
28177,PYTH,Pyth Network,pyth-network,90
6719,GRT,The Graph,the-graph,91
2694,NEXO,Nexo,nexo,92
9481,PENDLE,Pendle,pendle,93
13855,ENS,Ethereum Name Service,ethereum-name-service,94
34387,RLUSD,Ripple USD,ripple-usd,95
32684,S,Sonic,sonic,96
8526,RAY,Raydium,raydium,97
28752,WIF,dogwifhat,dogwifhat,98
1720,IOTA,IOTA,iota,99
7334,CFX,Conflux,conflux-network,100
30494,EIGEN,EigenLayer,eigenlayer,101
2011,XTZ,Tezos,tezos,102
2416,THETA,Theta Network,theta-network,103
6210,SAND,The Sandbox,the-sandbox,104
7080,GALA,Gala,gala,105
29420,VIRTUAL,Virtuals Protocol,virtual-protocol,106
3871,AB,AB,newton,107
1966,MANA,Decentraland,decentraland,108
30083,ATH,Aethir,aethir,109
36462,A,Vaulta,vaulta,110
22691,STRK,Starknet,starknet-token,111
8425,JASMY,JasmyCoin,jasmy,112
33597,FARTCOIN,Fartcoin,fartcoin,113
38337,0G,0G,zero-gravity,114
34104,MORPHO,Morpho,morpho,115
28541,JTO,Jito,jito,116
33391,DEEP,DeepBook Protocol,deepbook-protocol,117
4558,FLOW,Flow,flow,118
16086,BTT,BitTorrent [New],bittorrent-new,119
36119,WAL,Walrus,walrus-xyz,120
26997,ZRO,LayerZero,layerzero,121
5964,TWT,Trust Wallet Token,trust-wallet-token,122
3602,BSV,Bitcoin SV,bitcoin-sv,123
29587,W,Wormhole,wormhole,124
2563,TUSD,TrueUSD,trueusd,125
33824,SYRUP,Maple Finance,maple-finance,126
28324,DYDX,dYdX,dydx-chain,127
5665,HNT,Helium,helium,128
10529,SUN,Sun [New],sun-token,129
19891,USDD,USDD,usdd,130
4066,CHZ,Chiliz,chiliz,131
29743,BRETT,Brett (Based),based-brett,132
24091,ZK,ZKsync,zksync,133
1376,NEO,Neo,neo,134
27657,LINEA,Linea,linea,135
9816,NFT,APENFT,apenft,136
18876,APE,ApeCoin,apecoin-ape,137
38482,FF,Falcon Finance,falcon-finance-ff,138
28298,BEAM,Beam,onbeam,139
4157,RUNE,THORChain,thorchain,140
23635,FORM,Four,binaryx-new,141
5692,COMP,Compound,compound,142
2586,SNX,Synthetix,synthetix,143
1659,GNO,Gnosis,gnosis-gno,144
8290,SUPER,SuperVerse,superverse,145
23254,CORE,Core,core-dao,146
18679,XCN,Onyxcoin,onyxcoin,147
3964,RSR,Reserve Rights,reserve-rights,148
6892,EGLD,MultiversX,multiversx-egld,149
131,DASH,Dash,dash,150
30636,ZBCN,Zebec Network,zebec-network,151
5632,AR,Arweave,arweave,152
10791,XEC,eCash,ecash,153
6783,AXS,Axie Infinity,axie-infinity,154
8104,1INCH,1inch,1inch,155
24647,BERA,Berachain,berachain,156
4846,KAVA,Kava,kava,157
9903,CVX,Convex Finance,convex-finance,158
9104,AIOZ,AIOZ Network,aioz-network,159
35763,KAITO,KAITO,kaito,160
30712,MERL,Merlin Chain,merlin-chain,161
27750,TOSHI,Toshi,toshithecat,162
27659,MOG,Mog Coin,mog-coin,163
14101,RON,Ronin,ronin,164
38481,XAN,Anoma,anoma,165
5488,JST,JUST,just,166
31278,DRIFT,Drift,drift,167
7548,WEMIX,WEMIX,wemix,168
17799,AXL,Axelar,axelar,169
32452,MOVE,Movement,movement,170
4172,LUNC,Terra Classic,terra-luna,171
38299,AVNT,Avantis,avantis,173
25264,SNEK,Snek,snek,173
4195,FTT,FTX Token,ftx-token,174
1168,DCR,Decred,decred,175
35364,PLUME,Plume,plume,176
3640,LPT,Livepeer,livepeer,177
7431,AKT,Akash Network,akash-network,178
36532,B,BUILDon,buildon,179
31526,MOCA,Moca Network,mocaverse,180
5198,CTC,Creditcoin,creditcoin,181
6945,AMP,Amp,amp,182
24911,TURBO,Turbo,turbo,183
5034,KSM,Kusama,kusama,184
20641,EURC,EURC,euro-coin,185
8119,SFP,SafePal,safepal,186
30933,DOG,Dog (Bitcoin),dog-go-to-the-moon-rune,187
4041,MX,MX Token,mx-token,188
30126,MEW,cat in a dogs world,mew,189
35931,ZORA,ZORA,zora,190
21585,SAFE,Safe,safe1,191
1684,QTUM,Qtum,qtum,192
36828,USELESS,Useless Coin,theuselesscoin,193
34812,BIO,Bio Protocol,bio,194
28782,POPCAT,Popcat (SOL),popcat-sol,195
3822,TFUEL,Theta Fuel,theta-fuel,196
1455,GLM,Golem,golem-network-tokens,197
7127,VELO,Velo,velo,198
